StopName,ArrivalTime,DepartureTime
IESCO D-12,09:27:50,09:28:10
D-12 Service Road,09:30:20,09:30:40
E-11/2 / FECHS / Islamabad International Hospite,09:33:10,09:33:30
Multy Stop/Islamabad Gardens,09:36:20,09:36:40
NPF Housing Society,09:38:10,09:38:30
Khayaban e Iqbal,09:41:00,09:41:20
Sumbal Road,09:43:35,09:43:55
G10/G11,09:46:25,09:46:45
Sunday Bazar,09:49:25,09:49:45
G-10 Metro Station,09:50:55,09:51:15
Police Foundation,09:53:35,09:53:55
Nust Metro Station,09:57:15,09:57:15
D-12,09:30:00,09:30:00
D-12 Markaz,09:31:10,09:31:30
IESCO D-12,09:32:50,09:33:10
D-12 Service Road,09:35:20,09:35:40
E-11/2 / FECHS / Islamabad International Hospite,09:38:10,09:38:30
Multy Stop/Islamabad Gardens,09:41:20,09:41:40
NPF Housing Society,09:43:10,09:43:30
Khayaban e Iqbal,09:46:00,09:46:20
Sumbal Road,09:48:35,09:48:55
G10/G11,09:51:25,09:51:45
Sunday Bazar,09:54:25,09:54:45
G-10 Metro Station,09:55:55,09:56:15
Police Foundation,09:58:35,09:58:55
Nust Metro Station,10:02:15,10:02:15
D-12,09:35:00,09:35:00
D-12 Markaz,09:36:10,09:36:30
IESCO D-12,09:37:50,09:38:10
D-12 Service Road,09:40:20,09:40:40
E-11/2 / FECHS / Islamabad International Hospite,09:43:10,09:43:30
Multy Stop/Islamabad Gardens,09:46:20,09:46:40
NPF Housing Society,09:48:10,09:48:30
Khayaban e Iqbal,09:51:00,09:51:20
Sumbal Road,09:53:35,09:53:55
G10/G11,09:56:25,09:56:45
Sunday Bazar,09:59:25,09:59:45
G-10 Metro Station,10:00:55,10:01:15
Police Foundation,10:03:35,10:03:55
Nust Metro Station,10:07:15,10:07:15
D-12,09:40:00,09:40:00
D-12 Markaz,09:41:10,09:41:30
IESCO D-12,09:42:50,09:43:10
D-12 Service Road,09:45:20,09:45:40
E-11/2 / FECHS / Islamabad International Hospite,09:48:10,09:48:30
Multy Stop/Islamabad Gardens,09:51:20,09:51:40
NPF Housing Society,09:53:10,09:53:30
Khayaban e Iqbal,09:56:00,09:56:20
Sumbal Road,09:58:35,09:58:55
G10/G11,10:01:25,10:01:45
Sunday Bazar,10:04:25,10:04:45
G-10 Metro Station,10:05:55,10:06:15
Police Foundation,10:08:35,10:08:55
Nust Metro Station,10:12:15,10:12:15
D-12,09:45:00,09:45:00
